AddressL1,City,State,Outcode,Incode,Lat,Long
75 Fairway Road,Squamish,BC,V8B,B4A,49.7497,-123.136
8754 County Ave,Prince Rupert,BC,V8J,R2H,54.3146,-130.3413
307 Bear Hill Ave,Steinbach,MB,R5G,G2A,49.5264,-96.6867
86 Lake Lane,Clarenville,LB,A5A,N6J,48.1666,-53.9628
48 W Circle Dr,Lloydminster,SK,T9V,T1R,53.2786,-110.0233
7170 Nut Swamp St,Dalhousie,NB,E8C,B1T,48.0477,-66.4004
395 Race Drive,Essex,ON,N8M,A9L,42.1754,-82.8226
474 Wrangler Street,Millville,NB,E6E,X6A,46.1296,-67.1953
277 S Cedarwood Lane,Uxbridge,ON,L9P,B6L,44.1065,-79.1427
44 Rosewood Court,Port Alberni,BC,V9Y,N1S,49.2197,-124.8101
7890 Brandywine Dr,Stouffville,ON,L4A,S3Y,43.9707,-79.2503
9722 San Pablo Circle,Dryden,ON,P8N,X3X,49.7856,-92.8364
561 Bohemia Road,Antigonish,NS,B2G,H6S,45.6243,-61.9996
264 Laurel Court,Chestermere,AB,T1X,S3E,51.0512,-113.8155
42 Fremont Ave,Redwood Meadows,AB,T3Z,J7K,50.9821,-114.5178
265 Beaver Ridge St,Plaster Rock,NB,E7G,Y4R,46.9097,-67.3971
8462 3rd Court,Paris,ON,N3L,R9S,43.1834,-80.3749
507 W Roosevelt Dr,Langley City,BC,V3A,Y8E,49.0764,-122.6797
198 Santa Clara Ave,Stouffville,ON,L4A,H1S,43.9707,-79.2503
242 Fifth Street,Hillsborough,NB,E4H,P4H,45.9078,-64.8245
67 Elm Dr,Port Colborne,ON,L3K,B0H,42.8754,-79.237
17 S South St,Roberval,QC,G8H,Y1G,48.5044,-72.2165
8791 S Rocky River St,Paquetville,NB,E8R,K4L,47.7443,-64.7222
8516 Fremont Dr,Napanee,ON,K7R,P2A,44.2538,-76.943
5 W Wellington Street,Fourchu,NS,B2J,P9S,45.3747,-63.2951
33 St Paul Street,Smiths Creek,NB,E4G,H7T,45.9078,-65.5334
9973 Prince Ave,Shediac,NB,E4P,K9N,46.2165,-64.5128
9993 Poor House St,Sturgeon Falls,ON,P2B,H1S,46.3664,-79.9178
796 Nut Swamp Drive,Meaford,ON,N4L,Y3A,44.6079,-80.5922
761 East Morris Ave,Carbonear,LB,A1Y,X2H,48.9268,-55.6613
250 E Alderwood Lane,Morden,MB,R6M,Y0R,49.1861,-98.1204
591 Clinton Ave,Campobello Island,NB,E5E,A8H,44.887,-66.95
9481 North Beach Dr,Greely,ON,K4P,Y2N,45.258,-75.5762
7290 Penn St,Beauceville,QC,G5X,L3S,46.2093,-70.7788
348 6th Street,Campobello Island,NB,E5E,N9G,44.887,-66.95
846 Nut Swamp St,Merritt,BC,V1K,M6R,50.1076,-120.7755
24 Linda Rd,Elmira,ON,N3B,A5G,43.5852,-80.5662
855 Ridgeview Drive,Tour de la Bourse,QC,H4Z,P2A,45.5003,-73.5621
27 Jockey Hollow Street,Cumberland,ON,K4C,J2X,45.5177,-75.4108
766 Jones Ave,Tantallon,NS,B3Z,E0H,44.5539,-63.8307
9119 Taylor Ave,Clermont,QC,G4A,N4T,47.695,-70.2239
88 Meadowbrook Ave,Bracebridge,ON,P1L,K2T,45.057,-79.3366
296 Oak Court,Allardville,NB,E8L,V2H,47.5887,-65.0979
6 Marlborough Street,Burtts Corner,NB,E6L,L9V,46.12,-66.9477
39 Prince Street,St. Andrews,NB,E5B,A3T,45.0732,-67.0428
26 Railroad Ave,Yarmouth,NS,B5A,Y9J,43.8245,-66.1207
9013 Ryan Lane,Parksville,BC,V9P,T7T,49.3233,-124.3227
8720 South Brookside Dr,Thompson,MB,R8N,K1M,55.7428,-97.8779
33 Virginia Rd,Dorchester,NB,E4K,A3C,46.0477,-64.6202
7381 Rocky River Ave,Kincardine,ON,N2Z,L0S,44.1821,-81.6373
952 Amherst Drive,Beresford,NB,E8K,J5A,47.6736,-65.6795
4 High Drive,Highlands,BC,V9B,N5K,48.4519,-123.4417
7347 S Smoky Hollow Rd,La Sarre,QC,J9Z,M4V,48.8131,-79.2026
7198 W Queen Ave,Deer Lake,LB,A8A,V0S,49.1778,-57.413
64 Oakland Ave,Portage la Prairie,MB,R1N,L3A,49.9694,-98.3131
61 Gulf Ave,Marion Bridge,NS,B1K,T7H,46.1309,-60.1864
24 SW Acacia Court,Arnprior,ON,K7S,Y8M,45.4238,-76.3624
408 Peninsula Rd,Stephenville,LB,A2N,L8C,48.5656,-58.6
81 Purple Finch Lane,Aylmer,ON,N5H,N4L,42.7797,-80.9864
91 Lakewood Street,Port Morien,NS,B1B,T8T,46.1365,-59.8717
816 Bow Ridge St,Elizabethtown,ON,K6T,J1P,44.618,-75.6895
952 Dogwood Street,Reserve Mines,NS,B1E,T6T,46.2003,-60.0215
67 Franklin Lane,Pennfield,NB,E5H,V4A,45.0766,-66.77
791 Homewood St,Dundas,ON,L9H,E8A,43.2638,-79.9505
908 W Walnut Ave,Bridgewater,NS,B4V,V8R,44.3683,-64.506
3 Amerige St,Manuels,LB,A1W,H0H,47.5329,-52.9132
688 3rd Ave,Norton,NB,E5T,K3G,45.6769,-65.884
17 Ryan Road,Parksville,BC,V9P,G3J,49.3233,-124.3227
781 Beaver Ridge Dr,Matane,QC,G4W,A2N,48.8526,-67.518
8400 Buttonwood St,Montmagny,QC,G5V,M3R,46.9984,-70.5595
9 Mammoth Street,Bathurst,NB,E2A,G0Y,47.6605,-65.6414
68 Hillside Ave,Hanover,ON,N4N,K3C,44.1385,-81.0237
12 Del Monte Drive,Morinville,AB,T8R,A1Y,53.7903,-113.646
377 Westminster Road,Brooks,AB,T1R,B8M,50.5659,-111.8896
7797 Hudson Lane,Salisbury,NB,E4J,T2L,45.9787,-64.9898
71 Bridge Dr,Chelsea,QC,J9B,Y3E,45.4039,-75.826
8 Kingston Drive,Brockville,ON,K6V,N8R,44.5906,-75.6808
792 E John Ave,Red Bank,NB,E9E,A4B,46.9795,-65.6715
59 Wintergreen Drive,Innisfail,AB,T4G,P9P,52.029,-113.9474
8392 Academy Ave,Fort St. John,BC,V1J,P0S,56.2306,-120.8277
9 NE Lakeshore St,Keswick,ON,L4P,Y8S,44.2421,-79.4818
4 Creek St,Leduc,AB,T9E,K9A,53.2524,-113.5388
235 Corona Dr,Keswick,ON,L4P,J4Y,44.2421,-79.4818
7267 Lafayette  Lane,Laterrière,QC,G7N,V7E,48.3084,-71.1104
722 Creekside Lane,Beresford,NB,E8K,Y6R,47.6736,-65.6795
38 Fawn Avenue,Portage la Prairie,MB,R1N,X9M,49.9694,-98.3131
9539 Railroad Street,Campobello Island,NB,E5E,C7L,44.887,-66.95
7489 Birchwood St,Christmas Island,NS,B1T,H2T,46.1122,-60.2372
8050 School Rd,Olds,AB,T4H,B6P,51.7956,-114.0944
85 Oak St,Weyburn,SK,S4H,R2T,49.6719,-103.8491
9053 S Somerset St,Yellowknife,NT,X1A,T7M,62.4725,-114.3417
64 Andover Ave,Paquetville,NB,E8R,X7Y,47.7443,-64.7222
8787 North Acacia Circle,Dalhousie,NB,E8C,G7H,48.0477,-66.4004
8178 Cooper Ave,Keswick,ON,L4P,H1X,44.2421,-79.4818
6 North Riverside Drive,New Glasgow,NS,B2H,X7L,45.5937,-62.6585
483 Pennington St,Parksville,BC,V9P,S8M,49.3233,-124.3227
89 Carson St,Tillsonburg,ON,N4G,T3S,42.8806,-80.7527
47 Tunnel Dr,Bracebridge,ON,P1L,B9N,45.057,-79.3366
5 Thompson Dr,Lakeside,NS,B3T,M8H,44.6404,-63.6888
6 Ryan St,Bathurst,NB,E2A,X3V,47.6605,-65.6414
7998 Plymouth Ave,Canmore,AB,T1W,C1K,51.0868,-115.3384
39 Stillwater Avenue,Duncan,BC,V9L,G6N,48.7768,-123.7077
7677 W Arcadia Ave,Uxbridge,ON,L9P,C6V,44.1065,-79.1427
425 La Sierra Dr,Labrador City,LB,A2V,E5H,52.9348,-66.9145
2 Old Morris Court,Tour de la Bourse,QC,H4Z,T3T,45.5003,-73.5621
7703 W Hill St,Kingsclear,NB,E3E,M7H,45.8134,-66.932
17 Fairview Road,Bonnyville,AB,T9N,S8R,54.2678,-110.7324
46 Woodside St,Bracebridge,ON,P1L,B5L,45.057,-79.3366
7584 Jones Drive,Williams Lake,BC,V2G,E0C,52.1276,-122.1271
530 North Rockcrest Ave,Cochrane,AB,T4C,P0C,51.1896,-114.4774
150 Trenton Street,Black Lake,QC,G6H,X6H,46.0654,-71.356
62 Manor Station Lane,Maple,ON,L6A,S0S,43.857,-79.514
598 W Poplar St,Louisbourg,NS,B1C,M7T,46.2152,-60.2452
98 Henry Smith Street,Qualicum Beach,BC,V9K,Y4J,49.3506,-124.409
345 Peg Shop Road,Stanley,NB,E6B,V1H,46.2324,-66.6683
8772 Valley View Dr,Paris,ON,N3L,S6P,43.1834,-80.3749
432 Ryan Ave,Baker Brook,NB,E7A,Y0G,47.2542,-68.7211
943 Summerhouse St,Truro,NS,B2N,H3A,45.3486,-63.3029
161 Jones Street,Flin Flon,MB,R8A,X8M,54.76,-101.8704
9435 Blue Spring Rd,Goulds,LB,A1S,N9V,47.462,-52.7895
7980 Newbridge Ave,Merritt,BC,V1K,G8E,50.1076,-120.7755
889 Jefferson St,Hanover,ON,N4N,J6J,44.1385,-81.0237
7598 Richardson Street,Grand Falls,LB,A2A,G0K,48.9249,-55.6493
9 Crescent Dr,Dryden,ON,P8N,A4H,49.7856,-92.8364
993 Manhattan St,Pitt Meadows,BC,V3Y,V6G,49.2273,-122.6883
980 Carpenter Lane,Dawson Creek,BC,V1G,Y9E,55.7741,-120.2533
9344 Magnolia Rd,Orillia,ON,L3V,K1G,44.6039,-79.4126
526 Central Ave,Rock Forest,QC,J1N,S3J,45.3814,-71.9827
8747 Howard Rd,La Baie,QC,G7B,B2X,48.3133,-70.8557
125 Clay St,Manotick,ON,K4M,V3G,45.2289,-75.6817
61 S Arcadia St,Norton,NB,E5T,Y7R,45.6769,-65.884
83 S Westport Street,Kirkland,QC,H9J,S8T,45.469,-73.8862
8878 Glendale Court,Bayfield,NB,E4M,V1Y,46.0957,-63.9068
401 S Summit Ave,Athabasca,AB,T9S,E7L,54.7139,-113.2942
8592 Wild Horse Court,Redwood Meadows,AB,T3Z,J7A,50.9821,-114.5178
8527 North Mulberry Drive,Cranbrook,BC,V1C,E9B,49.512,-115.7703
50 San Carlos Street,Amherst,NS,B4H,X1G,45.8353,-64.2182
6 Mill Pond Street,Stanley,NB,E6B,B1K,46.2324,-66.6683
7098 Whitemarsh Ave,Fabreville,QC,H7P,B9E,45.5917,-73.8293
297 Henry St,Hartland,NB,E7P,R9X,46.3709,-67.445
33 Wayne Ave,Flin Flon,MB,R8A,S7L,54.76,-101.8704
3 Saxton Lane,Lachute,QC,J8H,R1X,45.6484,-74.3406
7049 E State Ave,Deer Lake,LB,A8A,R5K,49.1778,-57.413
642 Greenrose Court,Kimberley,BC,V1A,C5K,49.6626,-115.9667
320 E Amerige Street,Renfrew,ON,K7V,T5P,45.4779,-76.6731
398 Surrey Rd,Coaticook,QC,J1A,T8Y,45.1563,-71.8095
8186 4th Ave,Alliston,ON,L9R,S9X,44.1513,-79.8744
8775 S Queen St,Bromont,QC,J2L,L1C,45.3161,-72.6501
373 Addison Dr,Stephenville,LB,A2N,L4G,48.5656,-58.6
351 Swanson Street,Riverview,NB,E1B,J1T,46.0738,-64.755
7382 Brown Court,Okotoks,AB,T1S,S9G,50.7064,-113.9554
580 Henry Smith St,Meadow Lake,SK,S9X,G6L,54.132,-108.4314
7835 Winding Way St,Roxboro,QC,H8Y,N9H,45.5145,-73.8162
599 Del Monte Circle,Asbestos,QC,J1T,S2H,45.7808,-71.9348
606 Baker Court,Brantville,NB,E9H,J4J,47.3272,-65.011
13 Sunbeam Rd,Wainwright,AB,T9W,V7V,52.8403,-110.8704
90 North Smith Ave,Lloydminster,AB,T9V,J2L,53.2786,-110.0233
1 Amherst St,Parry Sound,ON,P2A,V7M,45.3405,-80.0365
40 North Valley Farms Dr,Reserve Mines,NS,B1E,H6G,46.2003,-60.0215
63 Wentworth Drive,Estevan,SK,S4A,X7M,49.1433,-102.9987
404 Hanover St,La Sarre,QC,J9Z,R6A,48.8131,-79.2026
34 High Ridge Dr,Porters Lake,NS,B3E,L8E,44.7227,-63.3973
23 Rockledge St,Chibougamau,QC,G8P,S5K,49.9214,-74.3601
9186 Joy Ridge Drive,Espanola,ON,P5E,L7B,46.2629,-81.7719
8102 Somerset Street,Coaldale,AB,T1M,X8S,49.7285,-112.6146
68 2nd Avenue,Brockville,ON,K6V,G4Y,44.5906,-75.6808
8718 Fairway Avenue,Carleton Place,ON,K7C,Y5G,45.135,-76.1313
8978 Plymouth Dr,Kedgwick,NB,E8B,G9L,47.6454,-67.3437
8 Bedford Street,Holland Landing,ON,L9N,X5M,44.1315,-79.4823
7384 East Rockwell Dr,Bonnyville,AB,T9N,P8V,54.2678,-110.7324
68 Argyle Lane,Bradford,ON,L3Z,T6V,44.1208,-79.5656
132 Thorne Ave,Eskasoni,NS,B1W,T4X,45.9245,-60.6449
25 College St,Rockland,ON,K4K,H7Y,45.5415,-75.3062
820 Tower Street,Aylmer,ON,N5H,S6X,42.7797,-80.9864
8758 Courtland Lane,Acton,ON,L7J,S9V,43.634,-80.0491
70 3rd St,New Waterford,NS,B1H,A8A,46.2295,-60.0941
7041 Queen St,Wallaceburg,ON,N8A,Y4H,42.5799,-82.3823
9054 Main St,Hampstead,QC,H3X,K4E,45.4915,-73.6483
21 Woodsman St,Essex,ON,N8M,A2N,42.1754,-82.8226
3 E Hanover St,Waverley,NS,B2R,L5R,44.7431,-63.5144
898 Smoky Hollow St,Brockville,ON,K6V,A2M,44.5906,-75.6808
51C Trout St,Place Desjardins,QC,H5B,B8E,45.5066,-73.5623
3 Westport St,Merritt,BC,V1K,X2P,50.1076,-120.7755
15 E Tarkiln Hill St,Stony Plain,AB,T7Z,N8P,53.5202,-114.0135
8615 Clay Dr,Manuels,LB,A1W,S6R,47.5329,-52.9132
176 Randall Mill Drive,Eskasoni,NS,B1W,N6H,45.9245,-60.6449
833 W Marsh Rd,Cedar,BC,V9X,B7M,49.1207,-123.9284
753 Wrangler St,Centreville,NB,E7K,R9E,46.4328,-67.7105
74 Cedar Drive,Dawson Creek,BC,V1G,B3L,55.7741,-120.2533
928 Annadale St,Kirkland Lake,ON,P2N,B2E,48.151,-80.0328
22 Adams St,Windsor,ON,A2B,B9R,48.949,-55.6725
838 Chapel St,Dominion,NS,B1G,L1M,46.2063,-60.0255
970 Mechanic Ave,Stratford,PE,C1B,T5P,46.2067,-63.0729
402 Green Court,Alliston,ON,L9R,T6C,44.1513,-79.8744
92 Andover Drive,Boucherville,QC,J4B,T8S,45.5685,-73.423
7768 West Linden Dr,Florenceville,NB,E7L,Y4Y,46.4418,-67.63
372 Sheffield Ave,Langley City,BC,V3A,V3A,49.0764,-122.6797
256 North Saxon Street,Chestermere,AB,T1X,V2V,51.0512,-113.8155
507 4th Street,Grimsby,ON,L3M,K7H,43.2005,-79.6292
629 Albany St,Pennfield,NB,E5H,P0E,45.0766,-66.77
8 Pierce Rd,Fort Frances,ON,P9A,L4C,48.6075,-93.3869
736 Green Dr,Carbonear,LB,A1Y,K7H,48.9268,-55.6613
58 10th Dr,Louisbourg,NS,B1C,N5K,46.2152,-60.2452
140 North Rose Street,Dundas,ON,L9H,K7C,43.2638,-79.9505
86 Glen Eagles Avenue,Yellowknife,NT,X1A,V7E,62.4725,-114.3417
9262 Gartner St,Squamish,BC,V8B,E7J,49.7497,-123.136
629 Ridgewood St,Port Moody,BC,V3H,R1Y,49.2707,-122.883
9480 Boston Dr,Concord,ON,L4K,N9T,43.7848,-79.4811
9114 John Dr,Okotoks,AB,T1S,R5K,50.7064,-113.9554
505 Essex Ave,Neguac,NB,E9G,C2P,47.2316,-65.1378
468 Trenton Circle,Flin Flon,MB,R8A,Y4Y,54.76,-101.8704
780 Fairfield Dr,Gananoque,ON,K7G,H2L,44.3319,-76.1471
69 Carpenter Circle,Hartland,NB,E7P,R8N,46.3709,-67.445
9605 East Santa Clara Road,St. Albert,AB,T8N,Y0M,53.6199,-113.6377
8997 S Beaver Ridge Rd,Yarmouth,NS,B5A,L2B,43.8245,-66.1207
55 Ketch Harbour St,Highlands,BC,V9B,B4K,48.4519,-123.4417
835 Buckingham Road,Fort Frances,ON,P9A,H6X,48.6075,-93.3869
9256 Catherine Lane,Chestermere,AB,T1X,S7N,51.0512,-113.8155
2 Gonzales Lane,Caledon,ON,L7C,R9K,43.7467,-79.8304
47 West San Pablo Dr,St. Andrews,NB,E5B,T1J,45.0732,-67.0428
468 West Cypress Street,Beaconsfield,QC,H9W,S1M,45.4407,-73.8727
721 Glenridge St,Port Morien,NS,B1B,R5V,46.1365,-59.8717
